Iteration	Posterior	Likelihood	Tree Prior	Pi[0]	Pi[1]	Pi[2]	Pi[3]	AC	AG	AT	CG	CT	GT
40200	-4972.824361	-4798.161370	-179.717825	0.214374	0.261508	0.352625	0.171493	0.077050	0.232518	0.893665	0.023720	0.011012	0.153589
40210	-4977.355075	-4802.700735	-179.709174	0.224849	0.251910	0.356055	0.167186	0.077050	0.232518	0.893665	0.023720	0.011012	0.153589
40220	-4978.069884	-4803.509107	-179.740360	0.224849	0.251910	0.356055	0.167186	0.054374	0.232518	0.893665	0.021446	0.011012	0.153589
40230	-4979.259529	-4804.310153	-180.140317	0.224849	0.251910	0.356055	0.167186	0.054374	0.232518	0.893665	0.021446	0.008741	0.153589
40240	-4980.964201	-4806.558781	-179.596360	0.213670	0.275767	0.330887	0.179676	0.054374	0.232518	0.893665	0.021446	0.008741	0.153589
40250	-4986.211475	-4811.790619	-179.596360	0.237747	0.267262	0.342181	0.152810	0.054374	0.232518	0.893665	0.021446	0.011828	0.153589
40260	-4982.771908	-4808.348770	-179.597400	0.211341	0.283177	0.357492	0.147990	0.054374	0.232518	0.893665	0.021695	0.011828	0.153589
40270	-4981.620653	-4805.904524	-180.890390	0.235127	0.283473	0.312810	0.168590	0.054374	0.232518	0.893665	0.021695	0.011828	0.153589
40280	-4985.131104	-4809.219282	-181.072759	0.253401	0.254481	0.343708	0.148409	0.054374	0.235183	0.893665	0.021695	0.011828	0.153589
40290	-4983.778055	-4809.221325	-179.267614	0.232228	0.251957	0.364687	0.151128	0.054374	0.188882	0.893665	0.019663	0.011828	0.291933
40300	-4984.630112	-4811.123909	-178.217086	0.232356	0.237691	0.379886	0.150066	0.054374	0.188882	0.893665	0.019663	0.011828	0.291933
40310	-4981.634797	-4807.713569	-176.853531	0.232356	0.237691	0.379886	0.150066	0.066901	0.188882	1.236698	0.019819	0.011828	0.291933
40320	-4976.080019	-4804.486301	-174.526021	0.210992	0.255997	0.372519	0.160492	0.066901	0.188882	1.236698	0.019819	0.011828	0.291933
40330	-4976.023680	-4804.084065	-174.526021	0.210992	0.255997	0.372519	0.160492	0.066901	0.288053	1.203748	0.019819	0.014787	0.291933
40340	-4970.505897	-4799.216601	-174.526021	0.206152	0.258850	0.361447	0.173552	0.066901	0.288053	1.199016	0.019819	0.014787	0.166601
40350	-4972.503208	-4800.738971	-174.940796	0.206152	0.258850	0.361447	0.173552	0.066901	0.288053	1.199016	0.031852	0.014787	0.166601
40360	-4974.697301	-4801.112991	-176.773754	0.200943	0.260622	0.376424	0.162011	0.066901	0.288053	1.199016	0.029275	0.014787	0.166601
40370	-4971.577926	-4798.809248	-177.547311	0.221038	0.250600	0.349367	0.178994	0.066901	0.288053	0.894027	0.026561	0.013062	0.158191
40380	-4970.847544	-4798.468689	-177.168349	0.221038	0.250600	0.349367	0.178994	0.066901	0.288053	0.894027	0.026561	0.010890	0.158191
40390	-4965.858610	-4795.095535	-175.640875	0.221038	0.250600	0.349367	0.178994	0.066901	0.270392	0.894027	0.026561	0.010890	0.158191
40400	-4964.859256	-4795.039604	-174.697452	0.221038	0.250600	0.349367	0.178994	0.066901	0.270392	0.894027	0.026561	0.010890	0.158191
40410	-4960.275950	-4792.369885	-172.631331	0.221038	0.250600	0.349367	0.178994	0.066901	0.270392	0.894027	0.023078	0.005506	0.197564
40420	-4961.319085	-4791.144270	-174.331662	0.221038	0.250600	0.349367	0.178994	0.102415	0.224306	1.015658	0.023078	0.008131	0.197564
40430	-4960.301277	-4791.243327	-173.193978	0.221038	0.250600	0.349367	0.178994	0.079430	0.251455	1.015658	0.023078	0.008131	0.197564
40440	-4962.026631	-4794.359015	-172.716023	0.221038	0.250600	0.349367	0.178994	0.079430	0.251455	0.833182	0.023078	0.008131	0.197564
40450	-4962.261544	-4793.940687	-173.369265	0.221038	0.250600	0.349367	0.178994	0.079430	0.251455	0.833182	0.023078	0.008131	0.197564
40460	-4964.301119	-4795.486337	-173.863189	0.221038	0.250600	0.349367	0.178994	0.079430	0.251455	0.833182	0.023078	0.008131	0.197564
40470	-4968.506988	-4799.704247	-173.725763	0.221038	0.250600	0.349367	0.178994	0.103917	0.251455	0.833182	0.023668	0.008131	0.197564
40480	-4970.479191	-4801.323962	-174.067295	0.224852	0.228687	0.376112	0.170349	0.103917	0.251455	0.833182	0.023668	0.010322	0.197564
40490	-4975.204234	-4804.133753	-175.985543	0.234177	0.237089	0.363313	0.165421	0.103318	0.251455	0.833182	0.023668	0.010322	0.197564
40500	-4975.300607	-4804.307284	-176.077321	0.222776	0.231075	0.372370	0.173779	0.103318	0.217668	0.833182	0.023668	0.010322	0.197564
40510	-4972.374439	-4804.580593	-173.010630	0.222776	0.231075	0.372370	0.173779	0.080952	0.217668	0.833182	0.023668	0.006131	0.197564
40520	-4966.497774	-4799.830388	-171.882590	0.222776	0.231075	0.372370	0.173779	0.080952	0.217668	0.833182	0.023984	0.006131	0.197564
40530	-4967.238535	-4803.300686	-169.170234	0.222776	0.231075	0.372370	0.173779	0.080952	0.217668	0.833182	0.023984	0.002695	0.197564
40540	-4971.207932	-4804.780027	-171.660290	0.222776	0.231075	0.372370	0.173779	0.080952	0.217668	0.833182	0.023984	0.002695	0.197564
40550	-4969.476753	-4803.153244	-171.559480	0.222776	0.231075	0.372370	0.173779	0.080952	0.217668	0.833182	0.023984	0.001978	0.197564
40560	-4971.307041	-4805.604456	-171.274817	0.232303	0.224912	0.365067	0.177718	0.080952	0.150081	0.833182	0.023984	0.002312	0.197564
40570	-4971.357771	-4806.891480	-170.187889	0.224229	0.247046	0.340927	0.187798	0.051079	0.150081	0.833182	0.023984	0.002312	0.197564
40580	-4973.952210	-4809.067202	-170.180275	0.201420	0.265063	0.350941	0.182577	0.051079	0.284485	0.833182	0.022877	0.002312	0.149533
40590	-4973.110251	-4807.688976	-171.483506	0.201420	0.265063	0.350941	0.182577	0.051079	0.130412	0.833182	0.022877	0.002992	0.149533
40600	-4971.649147	-4805.928218	-171.772622	0.201420	0.265063	0.350941	0.182577	0.051079	0.130412	0.833182	0.022877	0.005100	0.149533
40610	-4975.069181	-4807.365624	-173.755250	0.201420	0.265063	0.350941	0.182577	0.051079	0.130412	0.833182	0.022877	0.005100	0.149533
40620	-4971.306711	-4802.152836	-175.205568	0.201420	0.265063	0.350941	0.182577	0.051079	0.130412	0.833182	0.022877	0.005100	0.149533
40630	-4971.707695	-4802.890024	-174.886768	0.200301	0.284395	0.361720	0.153585	0.051079	0.130412	0.833182	0.019396	0.005100	0.149533
40640	-4975.941200	-4806.911439	-175.051731	0.204759	0.290949	0.335228	0.169063	0.051079	0.130412	0.833182	0.012765	0.005100	0.165590
40650	-4976.728851	-4806.122021	-176.599903	0.204759	0.290949	0.335228	0.169063	0.051079	0.136192	0.833182	0.012765	0.005100	0.165590
40660	-4978.522056	-4807.921906	-176.521817	0.211330	0.289229	0.326117	0.173324	0.051079	0.141542	0.833182	0.021696	0.005100	0.165590
40670	-4974.448264	-4805.464364	-174.654291	0.211330	0.289229	0.326117	0.173324	0.063893	0.202570	0.833182	0.021696	0.003181	0.143921
40680	-4976.432023	-4809.813657	-172.258111	0.211330	0.289229	0.326117	0.173324	0.063893	0.202570	0.833182	0.021696	0.003181	0.150050
40690	-4978.356839	-4811.331491	-172.744276	0.211330	0.289229	0.326117	0.173324	0.063893	0.179502	0.833182	0.028684	0.003424	0.150050
40700	-4977.270116	-4812.183075	-170.670599	0.233698	0.255624	0.317032	0.193646	0.062741	0.209159	0.833182	0.028684	0.003424	0.148619
40710	-4978.430929	-4810.203994	-173.609071	0.213450	0.260941	0.369104	0.156505	0.062741	0.209159	0.833182	0.028684	0.004927	0.187400
40720	-4980.895019	-4810.523655	-175.828438	0.196378	0.269043	0.368187	0.166393	0.062741	0.209159	0.833182	0.013697	0.004927	0.187400
40730	-4981.694031	-4810.194904	-177.328075	0.218269	0.269616	0.355938	0.156177	0.062741	0.209159	0.833182	0.013697	0.004927	0.113025
40740	-4982.322957	-4809.488329	-178.676418	0.218269	0.269616	0.355938	0.156177	0.062741	0.209159	0.833182	0.013697	0.002359	0.113025
40750	-4980.889807	-4807.374943	-179.356655	0.217768	0.265766	0.356037	0.160428	0.062741	0.209159	0.833182	0.013697	0.002359	0.113025
40760	-4980.335912	-4806.088325	-180.153534	0.221613	0.254861	0.365350	0.158176	0.062741	0.196328	0.833182	0.013697	0.002359	0.113025
40770	-4976.793987	-4805.255814	-177.444120	0.213348	0.257944	0.367894	0.160814	0.062741	0.196328	0.833182	0.013697	0.002359	0.113025
40780	-4979.169001	-4810.804395	-174.273281	0.210304	0.260516	0.381755	0.147425	0.062741	0.196328	0.833182	0.013697	0.001813	0.113025
40790	-4974.931977	-4808.423642	-172.363429	0.210993	0.239345	0.385355	0.164306	0.062741	0.196328	0.833182	0.025125	0.001101	0.113025
40800	-4978.721513	-4812.099897	-172.471997	0.197238	0.252425	0.352665	0.197672	0.062741	0.196328	0.833182	0.025125	0.002043	0.113025
40810	-4976.581562	-4812.049264	-170.151959	0.197238	0.252425	0.352665	0.197672	0.062741	0.242774	0.833182	0.025125	0.001741	0.113025
40820	-4974.257548	-4809.721997	-169.959048	0.198173	0.252841	0.363319	0.185667	0.062741	0.242774	0.833182	0.025125	0.001741	0.152258
40830	-4978.625459	-4811.619032	-172.429389	0.197578	0.266235	0.367138	0.169049	0.062741	0.242774	0.833182	0.025125	0.001848	0.152258
40840	-4975.605785	-4808.292517	-172.784559	0.197578	0.266235	0.367138	0.169049	0.062741	0.242774	0.833182	0.016049	0.001259	0.152258
40850	-4979.061786	-4812.653360	-171.879717	0.211723	0.259027	0.375261	0.153989	0.062741	0.242774	0.833182	0.016049	0.001259	0.152258
40860	-4981.160875	-4813.350886	-173.222131	0.200227	0.225703	0.389618	0.184452	0.062741	0.242774	0.833182	0.027878	0.001259	0.152258
40870	-4985.506244	-4819.673203	-171.686577	0.200227	0.225703	0.389618	0.184452	0.062741	0.155001	0.833182	0.027878	0.000753	0.152258
40880	-4980.670818	-4816.834482	-169.736106	0.200227	0.225703	0.389618	0.184452	0.062741	0.155001	0.833182	0.023263	0.000753	0.147626
40890	-4980.876507	-4820.969373	-165.806905	0.200227	0.225703	0.389618	0.184452	0.062741	0.155001	0.833182	0.023263	0.000753	0.147626
40900	-4966.757470	-4814.515016	-158.142225	0.200227	0.225703	0.389618	0.184452	0.062741	0.155001	0.833182	0.023263	0.000753	0.147626
40910	-4966.916410	-4814.213848	-158.721783	0.200227	0.225703	0.389618	0.184452	0.062741	0.155001	0.833182	0.023263	0.000753	0.123736
40920	-4971.764148	-4819.422772	-158.418796	0.204038	0.207570	0.418349	0.170043	0.062741	0.155001	0.833182	0.011205	0.001172	0.123736
40930	-4971.064982	-4819.673731	-157.468671	0.204038	0.207570	0.418349	0.170043	0.062741	0.155001	0.833182	0.011205	0.001172	0.123736
40940	-4967.619573	-4815.908604	-157.791664	0.204038	0.207570	0.418349	0.170043	0.062741	0.155001	0.833182	0.011205	0.000517	0.123736
40950	-4968.155170	-4811.569332	-162.666533	0.207062	0.224268	0.389388	0.179282	0.062741	0.155001	0.833182	0.011205	0.000517	0.123736
40960	-4971.341885	-4821.523797	-156.089721	0.191337	0.240804	0.377218	0.190641	0.062741	0.116999	0.833182	0.011205	0.000330	0.123736
40970	-4975.137075	-4820.761831	-160.739827	0.191337	0.240804	0.377218	0.190641	0.044151	0.116999	0.833182	0.011205	0.000330	0.123736
40980	-4968.635116	-4812.557576	-163.131045	0.208829	0.254176	0.353280	0.183715	0.044137	0.116999	0.695412	0.011205	0.000330	0.123736
40990	-4964.802116	-4809.274439	-163.367149	0.220399	0.240405	0.355251	0.183945	0.044137	0.116999	0.538219	0.011205	0.000330	0.123736
41000	-4964.266448	-4809.899313	-162.206606	0.220399	0.240405	0.355251	0.183945	0.044137	0.116999	0.538219	0.011205	0.000330	0.123736
41010	-4965.207931	-4809.872130	-163.173952	0.220399	0.240405	0.355251	0.183945	0.044137	0.116999	0.538219	0.011205	0.000594	0.123736
41020	-4964.090805	-4808.693742	-163.495488	0.220399	0.240405	0.355251	0.183945	0.044137	0.116999	0.538219	0.011205	0.000530	0.071745
41030	-4969.383314	-4816.793951	-160.702716	0.207063	0.216695	0.407890	0.168352	0.044137	0.116999	0.538219	0.008220	0.000530	0.071745
41040	-4966.475753	-4817.394566	-157.246393	0.207063	0.216695	0.407890	0.168352	0.044137	0.106074	0.538219	0.008220	0.001085	0.071745
41050	-4967.407357	-4820.026406	-155.546158	0.207063	0.216695	0.407890	0.168352	0.044137	0.106074	0.538219	0.008220	0.001085	0.071745
41060	-4967.983777	-4822.512160	-153.615388	0.207063	0.216695	0.407890	0.168352	0.044369	0.106074	0.538219	0.012275	0.001085	0.071745
41070	-4963.464912	-4817.665682	-153.613893	0.208258	0.266858	0.366067	0.158817	0.044369	0.106074	0.604152	0.012163	0.001085	0.071745
41080	-4961.859676	-4821.708238	-147.900043	0.218979	0.211765	0.377638	0.191619	0.044369	0.119286	0.604152	0.012163	0.001085	0.071745
41090	-4960.702512	-4820.587876	-147.864592	0.218979	0.211765	0.377638	0.191619	0.044369	0.119286	0.604152	0.011893	0.001085	0.071745
41100	-4961.705317	-4822.170717	-147.249278	0.218979	0.211765	0.377638	0.191619	0.044369	0.119286	0.604152	0.019351	0.000682	0.071745
41110	-4957.674093	-4817.753391	-147.569509	0.219880	0.251010	0.362766	0.166344	0.037358	0.119286	0.604152	0.019351	0.000682	0.091931
41120	-4956.023641	-4815.287490	-148.186269	0.217753	0.238984	0.356907	0.186356	0.037358	0.159301	0.604152	0.019351	0.000405	0.091931
41130	-4956.770775	-4818.499510	-145.792857	0.232496	0.245118	0.354999	0.167387	0.053594	0.128805	0.604152	0.019351	0.000370	0.091931
41140	-4962.226107	-4824.683133	-145.063068	0.232496	0.245118	0.354999	0.167387	0.053594	0.128805	0.604152	0.019351	0.000670	0.091931
41150	-4962.771791	-4825.244131	-145.066237	0.223921	0.260123	0.347141	0.168815	0.050339	0.128805	0.604152	0.019351	0.000228	0.091931
41160	-4959.209252	-4821.913319	-144.834510	0.223921	0.260123	0.347141	0.168815	0.050339	0.128805	0.604152	0.019351	0.000228	0.091931
41170	-4962.177409	-4825.549904	-144.161139	0.234190	0.248606	0.315978	0.201226	0.050339	0.128805	0.604152	0.020340	0.000228	0.091931
41180	-4962.077740	-4828.969266	-140.067436	0.209617	0.252564	0.327765	0.210054	0.048460	0.181789	0.604152	0.021114	0.000228	0.154985
41190	-4962.528034	-4828.993161	-140.493836	0.209617	0.252564	0.327765	0.210054	0.048460	0.181789	0.604152	0.021114	0.000228	0.154985
41200	-4961.379276	-4825.635750	-143.119797	0.209617	0.252564	0.327765	0.210054	0.048460	0.181789	0.604152	0.021114	0.000232	0.071519
41210	-4961.623037	-4825.989661	-142.914047	0.209617	0.252564	0.327765	0.210054	0.048460	0.181789	0.604152	0.021114	0.000232	0.090639
41220	-4962.705480	-4827.079115	-142.916935	0.214318	0.259210	0.321306	0.205165	0.048460	0.181789	0.604152	0.018853	0.000513	0.090639
41230	-4959.578944	-4823.953704	-142.916935	0.213199	0.244344	0.336142	0.206316	0.048460	0.181789	0.604152	0.018853	0.000289	0.090639
41240	-4952.818454	-4812.708128	-147.475140	0.213199	0.244344	0.336142	0.206316	0.048460	0.181789	0.582995	0.018853	0.000459	0.097002
41250	-4952.326997	-4814.495412	-145.196399	0.204197	0.230740	0.365587	0.199475	0.048460	0.181789	0.582995	0.018853	0.000459	0.097002
41260	-4956.781996	-4817.422750	-144.272931	0.236576	0.249940	0.357861	0.155623	0.058379	0.181789	1.060552	0.018853	0.000922	0.099290
41270	-4948.774438	-4811.903993	-143.878773	0.241695	0.243790	0.341542	0.172973	0.058379	0.181789	0.641623	0.018853	0.000922	0.099290
41280	-4949.893735	-4811.394790	-145.507273	0.220647	0.236679	0.357862	0.184812	0.058379	0.181789	0.641623	0.018853	0.000922	0.099290
41290	-4947.298669	-4809.845144	-144.461853	0.220647	0.236679	0.357862	0.184812	0.058379	0.181789	0.641623	0.018853	0.000922	0.099290
41300	-4947.327197	-4808.740316	-145.662049	0.220647	0.236679	0.357862	0.184812	0.058379	0.168556	0.641623	0.018853	0.000787	0.099290
41310	-4949.301447	-4810.314432	-146.106116	0.220647	0.236679	0.357862	0.184812	0.058379	0.168556	0.641623	0.009816	0.001037	0.099290
41320	-4954.481600	-4812.832666	-148.764878	0.220647	0.236679	0.357862	0.184812	0.058379	0.168556	0.641623	0.009816	0.001668	0.099290
41330	-4947.716807	-4810.420828	-144.388089	0.220647	0.236679	0.357862	0.184812	0.063791	0.168556	0.641623	0.009816	0.001023	0.099290
41340	-4952.813832	-4812.681366	-147.162046	0.220647	0.236679	0.357862	0.184812	0.063791	0.168556	0.641623	0.009816	0.001571	0.111248
41350	-4955.485676	-4815.193183	-147.093584	0.220647	0.236679	0.357862	0.184812	0.063791	0.214254	0.641623	0.009816	0.001571	0.111248
41360	-4950.068525	-4813.710796	-143.247598	0.220647	0.236679	0.357862	0.184812	0.063791	0.214254	0.641623	0.010846	0.001794	0.092239
41370	-4949.177774	-4811.540014	-144.416386	0.220647	0.236679	0.357862	0.184812	0.063791	0.214254	0.641623	0.012978	0.001794	0.112355
41380	-4948.214171	-4810.423333	-144.569464	0.220647	0.236679	0.357862	0.184812	0.063791	0.214254	0.641623	0.012978	0.001794	0.112355
41390	-4950.840194	-4809.807122	-146.988519	0.218921	0.221309	0.376314	0.183457	0.054400	0.183514	0.847105	0.012978	0.001079	0.112355
41400	-4954.582687	-4810.817185	-149.715174	0.237065	0.216112	0.376099	0.170724	0.054400	0.183514	0.847105	0.012978	0.002234	0.112355
41410	-4955.827124	-4811.449357	-150.327440	0.237065	0.216112	0.376099	0.170724	0.054400	0.183514	0.847105	0.012978	0.002234	0.112355
41420	-4954.233591	-4809.926872	-150.188404	0.211193	0.214279	0.394176	0.180353	0.065515	0.183514	0.847105	0.012978	0.004717	0.112355
41430	-4956.008714	-4816.257961	-145.632437	0.211193	0.214279	0.394176	0.180353	0.065515	0.183514	0.847105	0.012978	0.004717	0.112355
41440	-4955.886550	-4815.575304	-146.174095	0.211193	0.214279	0.394176	0.180353	0.065515	0.183514	0.847105	0.012978	0.008484	0.112355
41450	-4953.950234	-4816.507315	-143.305768	0.211193	0.214279	0.394176	0.180353	0.065515	0.183514	0.847105	0.012978	0.008484	0.112355
41460	-4954.322015	-4816.674822	-143.756029	0.237167	0.233321	0.363913	0.165598	0.065515	0.125692	0.847105	0.012978	0.008484	0.120980
41470	-4950.206455	-4814.265399	-142.049892	0.216497	0.250846	0.358269	0.174387	0.065515	0.125692	0.847105	0.012978	0.008484	0.120980
41480	-4950.492635	-4814.318445	-142.400853	0.214211	0.252930	0.358726	0.174133	0.041159	0.125692	0.847105	0.014579	0.007673	0.120980
41490	-4944.726112	-4812.817829	-137.679719	0.214211	0.252930	0.358726	0.174133	0.069502	0.147686	0.847105	0.013308	0.004664	0.165969
41500	-4943.211040	-4811.402899	-137.657497	0.214211	0.252930	0.358726	0.174133	0.051324	0.147686	0.847105	0.015902	0.004664	0.165969
41510	-4947.817718	-4817.064810	-137.655904	0.211310	0.218565	0.383867	0.186258	0.051324	0.108773	0.676967	0.015902	0.002987	0.165969
41520	-4944.152418	-4813.399360	-137.773860	0.219267	0.228469	0.388272	0.163992	0.051324	0.108773	0.676967	0.013929	0.001981	0.145387
41530	-4944.481831	-4814.742252	-136.760381	0.219267	0.228469	0.388272	0.163992	0.051324	0.108773	0.676967	0.013929	0.001981	0.145387
41540	-4948.042980	-4818.271471	-136.760396	0.202028	0.234944	0.386702	0.176326	0.053349	0.148314	0.676967	0.013929	0.001257	0.110927
41550	-4949.766055	-4819.488717	-136.720319	0.210335	0.253441	0.379479	0.156745	0.053349	0.148314	0.786582	0.013929	0.000824	0.110927
41560	-4953.496311	-4823.236447	-136.720319	0.194640	0.263952	0.385024	0.156384	0.053349	0.148314	0.786582	0.010434	0.000824	0.110927
41570	-4948.051336	-4816.978211	-137.533580	0.194640	0.263952	0.385024	0.156384	0.053349	0.148314	0.786582	0.010434	0.000824	0.110927
41580	-4949.284646	-4817.936945	-137.808156	0.194640	0.263952	0.385024	0.156384	0.053349	0.148314	0.786582	0.010434	0.000824	0.110927
41590	-4950.035309	-4818.280979	-138.304878	0.197210	0.264695	0.385400	0.152695	0.035330	0.148314	0.786582	0.010434	0.000824	0.110927
41600	-4952.196540	-4820.757551	-137.989090	0.208499	0.262958	0.385056	0.143487	0.035330	0.148314	0.786582	0.010434	0.000913	0.110927
41610	-4938.065974	-4807.827114	-137.989090	0.215823	0.246357	0.360000	0.177820	0.035330	0.110135	0.585908	0.009262	0.000913	0.110927
41620	-4939.631176	-4810.236915	-137.153649	0.215823	0.246357	0.360000	0.177820	0.035330	0.110135	0.585908	0.007430	0.000913	0.110927
41630	-4940.358495	-4810.894786	-137.155892	0.219803	0.233317	0.373244	0.173636	0.035330	0.116876	0.585908	0.013740	0.001304	0.110927
41640	-4940.202444	-4810.747662	-137.155892	0.219178	0.250447	0.366760	0.163615	0.035330	0.116876	0.585908	0.011954	0.001304	0.110927
41650	-4942.133024	-4811.615514	-138.218619	0.219178	0.250447	0.366760	0.163615	0.035330	0.116876	0.585908	0.011954	0.001304	0.110927
41660	-4942.810542	-4812.290748	-138.229451	0.219178	0.250447	0.366760	0.163615	0.033538	0.116876	0.585908	0.011954	0.001387	0.110927
41670	-4940.888946	-4806.538151	-142.056671	0.232712	0.269110	0.334986	0.163192	0.033538	0.116876	0.585908	0.011954	0.002143	0.110927
41680	-4936.520349	-4803.125176	-141.101048	0.232712	0.269110	0.334986	0.163192	0.033538	0.116876	0.585908	0.011954	0.002143	0.110927
41690	-4938.369430	-4805.021193	-141.103768	0.232712	0.269110	0.334986	0.163192	0.033538	0.116876	0.580465	0.008433	0.001177	0.110927
41700	-4940.144708	-4806.241178	-141.457789	0.232712	0.269110	0.334986	0.163192	0.037929	0.116876	0.580465	0.010290	0.002133	0.143977
41710	-4937.955527	-4803.725351	-141.770685	0.231294	0.245800	0.341846	0.181060	0.037929	0.116876	0.580465	0.010290	0.004883	0.143977
41720	-4935.953597	-4797.578436	-146.019694	0.231294	0.245800	0.341846	0.181060	0.037929	0.116876	0.580465	0.010290	0.003184	0.124871
41730	-4939.879162	-4801.478504	-145.003179	0.231964	0.258129	0.358602	0.151304	0.037929	0.116876	0.788946	0.010290	0.003105	0.124871
41740	-4941.185798	-4803.194647	-144.593671	0.234555	0.266624	0.338734	0.160087	0.037929	0.116876	0.788946	0.010290	0.003105	0.124871
41750	-4942.071884	-4804.152532	-144.503855	0.243353	0.260493	0.340602	0.155552	0.037929	0.120479	0.788946	0.010290	0.003105	0.124871
41760	-4942.946876	-4799.725463	-149.660059	0.243353	0.260493	0.340602	0.155552	0.037929	0.120479	0.788946	0.010290	0.003121	0.154027
41770	-4936.647041	-4796.533224	-146.552463	0.243353	0.260493	0.340602	0.155552	0.037929	0.120479	0.788946	0.010290	0.003121	0.154027
41780	-4936.394090	-4794.524741	-148.307994	0.224087	0.259807	0.362463	0.153643	0.037929	0.120479	0.788946	0.010290	0.003121	0.154027
41790	-4939.513967	-4797.740736	-147.373202	0.224087	0.259807	0.362463	0.153643	0.057209	0.120479	0.937401	0.010290	0.003121	0.154027
41800	-4939.975280	-4796.420275	-148.710258	0.224087	0.259807	0.362463	0.153643	0.057209	0.204278	0.937401	0.010290	0.008265	0.154027
41810	-4942.313927	-4798.150861	-149.318320	0.222413	0.259768	0.346873	0.170945	0.057209	0.204278	0.937401	0.010290	0.008265	0.154027
41820	-4941.383730	-4797.233446	-149.318320	0.222413	0.259768	0.346873	0.170945	0.057209	0.204278	0.937401	0.010787	0.005212	0.154027
41830	-4955.304868	-4809.352722	-151.160965	0.257730	0.252010	0.335426	0.154834	0.049053	0.204278	0.937401	0.010787	0.005212	0.154027
41840	-4957.915746	-4812.071373	-151.235856	0.257730	0.252010	0.335426	0.154834	0.049053	0.204278	0.937401	0.022687	0.005212	0.105594
41850	-4949.059581	-4803.388519	-150.507812	0.231244	0.278442	0.347625	0.142689	0.049053	0.204278	0.937401	0.022687	0.004860	0.216892
41860	-4948.888889	-4803.191967	-150.508092	0.231244	0.278442	0.347625	0.142689	0.054168	0.204278	0.937401	0.022687	0.004860	0.216892
41870	-4949.834775	-4801.892165	-153.169341	0.231244	0.278442	0.347625	0.142689	0.054168	0.204278	0.937401	0.011687	0.007214	0.142426
41880	-4951.569044	-4802.103407	-154.692342	0.231244	0.278442	0.347625	0.142689	0.054168	0.204278	0.937401	0.011692	0.007214	0.142426
41890	-4959.814482	-4809.824636	-155.209337	0.226703	0.239380	0.397771	0.136146	0.054168	0.204278	0.937401	0.013135	0.007214	0.142426
41900	-4958.329270	-4812.727704	-150.821057	0.226703	0.239380	0.397771	0.136146	0.054168	0.204278	0.937401	0.013135	0.007214	0.142426
41910	-4951.671070	-4804.664242	-152.226319	0.232346	0.225755	0.388515	0.153384	0.054168	0.204278	0.937401	0.013135	0.007214	0.142426
41920	-4950.375397	-4804.736745	-150.860963	0.232346	0.225755	0.388515	0.153384	0.053605	0.204278	0.937401	0.013135	0.007214	0.142426
41930	-4951.595534	-4802.719635	-153.879931	0.240229	0.227108	0.372214	0.160449	0.055259	0.232494	0.937401	0.026921	0.007214	0.142426
41940	-4951.987481	-4801.534532	-155.446991	0.217062	0.227363	0.367644	0.187930	0.055259	0.232494	0.937401	0.026921	0.009212	0.142426
41950	-4951.766458	-4801.428400	-155.340946	0.217062	0.227363	0.367644	0.187930	0.055259	0.232494	0.937401	0.026921	0.007443	0.142426
41960	-4950.886271	-4800.328893	-155.560265	0.217062	0.227363	0.367644	0.187930	0.055259	0.232494	0.937401	0.026921	0.007443	0.142426
41970	-4948.609550	-4798.893880	-154.455538	0.217062	0.227363	0.367644	0.187930	0.090505	0.232494	0.937401	0.017112	0.007443	0.169593
41980	-4949.164755	-4799.652736	-153.631354	0.228553	0.230348	0.374134	0.166964	0.090505	0.232494	1.009554	0.017112	0.006429	0.222560
41990	-4950.179706	-4800.431488	-154.107129	0.228553	0.230348	0.374134	0.166964	0.090505	0.186906	1.009554	0.017112	0.004102	0.222560
42000	-4956.474266	-4806.295101	-154.538077	0.232288	0.235547	0.348150	0.184014	0.090505	0.186906	1.009554	0.017112	0.004102	0.222560
42010	-4958.827399	-4812.016226	-152.935607	0.232288	0.235547	0.348150	0.184014	0.080953	0.186906	0.666002	0.017112	0.004102	0.222560
42020	-4954.284652	-4807.474010	-152.935077	0.232288	0.235547	0.348150	0.184014	0.080953	0.186906	0.666002	0.017112	0.004102	0.222560
42030	-4956.985466	-4810.224600	-152.923561	0.232288	0.235547	0.348150	0.184014	0.080953	0.186906	0.666002	0.009460	0.004102	0.222560
42040	-4953.156556	-4806.303757	-153.755440	0.232818	0.221089	0.355102	0.190991	0.080953	0.160981	0.666002	0.009460	0.005586	0.099012
42050	-4951.465182	-4805.968913	-152.616306	0.232818	0.221089	0.355102	0.190991	0.037474	0.160981	0.666002	0.009460	0.005586	0.099012
42060	-4949.681180	-4805.318845	-151.443153	0.202072	0.228752	0.370708	0.198469	0.045318	0.160981	0.666002	0.009460	0.005586	0.099012
42070	-4946.091341	-4802.455250	-150.716909	0.227061	0.224435	0.364711	0.183792	0.045318	0.160981	0.666002	0.009460	0.005586	0.099012
42080	-4946.259409	-4802.674067	-150.809188	0.213522	0.223915	0.375486	0.187077	0.045318	0.132375	0.666002	0.009460	0.005586	0.099012
42090	-4946.727560	-4802.961666	-150.926490	0.213522	0.223915	0.375486	0.187077	0.057968	0.132375	0.666002	0.009460	0.005586	0.099012
